origem,slug,missao,tamanho,organizacao,integrador_aivt,custo,valor_num,moeda,valor_suspeito,custo_por_satelite,valor_num_por_satelite,financiador,trecho,url_fonte,categoria_coleta,no_recorte,pais,data_lancamento
texto livre (Description),alpha,Alpha,1U,Cornell University,,$200,200,USD,,,,,cations link with low-gain amateur ground stations. This is an important step in the democratization of space. For just $200 of equipment ($100 per spacecraft and $100 for ground station) amateur radio operators could achieve communications with,,B - coleta de plataformas (DCS/IoT),sim,US,2025-09-14
texto livre (Description),alpha,Alpha,1U,Cornell University,,$100,100,USD,,,,,ow-gain amateur ground stations. This is an important step in the democratization of space. For just $200 of equipment ($100 per spacecraft and $100 for ground station) amateur radio operators could achieve communications with an Amateur satelli,,B - coleta de plataformas (DCS/IoT),sim,US,2025-09-14
texto livre (Description),alpha,Alpha,1U,Cornell University,,$100,100,USD,,,,,ow-gain amateur ground stations. This is an important step in the democratization of space. For just $200 of equipment ($100 per spacecraft and $100 for ground station) amateur radio operators could achieve communications with an Amateur satelli,,B - coleta de plataformas (DCS/IoT),sim,US,2025-09-14
ficha da missão (campo Costs),amber,Amber 3,6U,Horizon Technologies,"AIVT by
?","£4.6 million for a full turn-key solution including two satellites, launches, operations and data delivery.",4600000,GBP,,,,,,https://horizontechnologies.eu/aac-clyde-space-wins-4-6-mgbp-order-from-horizon-technologies/,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,not launched
ficha da missão (campo Costs),arcsat,ARCSAT,6U,Norwegian Defence Research Establishment (FFI),"AIVT by
GomSpace",Single platform: $2.1M+,2100000,USD,,$2.1M+,2100000,,,https://gomspace.com/news/ffi-selects-gomspace-to-build-military-commun.aspx,—,não,Norway,2022-04-01
ficha da missão (campo Costs),blackcat,BlackCAT,6U,Pennsylvania State University (Penn State),"AIVT by
NanoAvionics",$5.8M,5800000,USD,,,,,,https://www.psu.edu/news/research/story/penn-state-astrophysicist-lead-58-million-nasa-cubesat-mission/,—,não,US,2026-01-11
ficha da missão (campo Costs),bro-unseenlabs,BRO-22,8U,Unseenlabs,"AIVT by
GomSpace",43 MSEK or $4.2M for 6 satellites.,43000000,SEK,,~$0.7M,700000,,,https://gomspace.com/news/gomspace-signs-contract-with-unseenlabs-to-de.aspx | https://gomspace.com/news/gomspace-signs-contract-with-unseenlabs-to-de.aspx,C - sinais cooperativos (AIS/ADS-B/RF),sim,France,2026-06-12
ficha da missão (campo Costs),catsat,CATSAT,6U,University of Arizona,,$450000 for the GomSpace 6U platform.,450000,USD,,,,,,https://gomspace.com/news/gomspace-leads-development-of-a-teaming-agreement-.aspx,A(fraco) - câmera sem alvo declarado,não,US,2024-07-04
ficha da missão (campo Costs),cnce-block-1,CNCE3,3U,Missile Defense Agency,"AIVT by
Blue Canyon",Single platform: $1.3 million,1300000,USD,,$1.3 million,1300000,,,https://www.usapatriotism.org/articles/mil/dod0226.htm,—,não,US,2021-06-30
ficha da missão (campo Costs),cnce-block-2,CNCE V5,3U,Missile Defense Agency,"AIVT by
Blue Canyon",Single platform: $1.3 million,1300000,USD,,$1.3 million,1300000,,,https://www.usapatriotism.org/articles/mil/dod0226.htm,—,não,US,2022-05-25
ficha da missão (campo Costs),ctos,Canadian Tactical Operations Satellite,8U,Galaxia,,$2.5 million,2500000,USD,,,,,,https://spaceq.ca/galaxia-lands-2-5m-drdc-contract-to-build-tactical-leo-satellite/,—,não,Canada,not launched
ficha da missão (campo Costs),cute,CUTE,6U,University of Colorado Boulder,,"The budget for developing, assembling and operating CUTE through the summer of 2024 is about $5.5 million.",5500000,USD,,,,,,https://spacenews.com/cubesat-offers-template-for-future-astronomy-missions/,—,não,US,2021-09-27
ficha da missão (campo Costs),daili,DAILI,6U (1x6U),Aerospace Corporation,,Cost to completion was $3.2M.,3200000,USD,,,,,,https://aerospace.org/press-release/aerospace-gets-28m-nasa-grant-study-atmosphere,—,não,US,2021-12-21
ficha da missão (campo Costs),deorbitsail,Deorbitsail,3U,EU FP7 consortium,"AIVT by
SSTL","$3,200,000 for the whole project and consortium including platform and launch",3200000,USD,,,,,,https://cordis.europa.eu/project/rcn/97975/reporting/en,—,não,UK,2015-07-10
texto livre (Description),desdemone,DESDEMONE,3U,University of Montpellier,,7 million euros,7000000,EUR,,,,,"ace by 2027 for remote sensing, collection, and recovery of plastic waste in Mediterranean coastal areas. Between 5 and 7 million euros are being sought with support from the Van Allen Foundation.",,A - sensoriamento remoto,sim,France,not launched
ficha da missão (campo Costs),diamond-6u,Diamond 6U 8,6U,Sky and Space,"AIVT by
GomSpace","$5,950,000 is the order value for the first batch of 8 CubeSats",5950000,USD,,"$745,000",745000,,,https://gomspace.com/news/6u-agreement-between-gomspace-and-sky-and-spa.aspx | https://gomspace.com/news/6u-agreement-between-gomspace-and-sky-and-spa.aspx,B - coleta de plataformas (DCS/IoT),sim,UK,x_cancelled
ficha da missão (campo Costs),dover,DOVER,3U,RHEA Group,"AIVT by
Open Cosmos",Co-funded by the UK Space Agency’s investment in the European Space Agency’s NAVISP.,,,,,,,,,—,não,UK,2023-01-09
ficha da missão (campo Costs),duplex,DUPLEX,6U,CU Aerospace,"AIVT by
NearSpace Launch",$1.7 million,1700000,USD,,,,,,https://aerospace.illinois.edu/news/nasa-funds-long-standing-partners-cubesat-development?fbclid=IwAR1Fd1cpimSsh19dRQfbJpp5dSAj2M2bDkqmViQ5EYdYxYwBEzn8tMKytPo,—,não,US,2025-09-14
ficha da missão (campo Costs),edison,Edison-1,8U,Space Inventor,"AIVT by
Space Inventor","$0.96M million for spacecraft, launch and operation.",960000,USD,,,,,,https://www.linkedin.com/posts/space-inventor_we-are-happy-to-announce-that-space-inventor-activity-6762415859404181505-M2qs/,—,não,Denmark,2025-01-14
ficha da missão (campo Costs),eirsat-1,EIRSAT-1,2U,University College Dublin,,€1.5 million,1500000,EUR,,,,,,https://europeanspaceflight.com/ireland-commit-3-3m-euros-more-to-esa-for-2024/,—,não,Ireland,2023-12-01
ficha da missão (campo Costs),eps-maccs,SCOUT-1 C,12U,GomSpace,"AIVT by
GomSpace","Contract value is EUR 24,000,000. GomSpace revenue impact is EUR 10,000,000, whereof direct GomSpace revenue share will be EUR 7,000,000.",24000000,EUR,,,,,,https://gomspace.com/news/esa-and-gomspace-sign-contract-to-implement-e.aspx,A - sensoriamento remoto,sim,Denmark,x_cancelled
ficha da missão (campo Costs),et-smart-rss,ET-SMART-RSS,6U,Ethiopian Space Science & Technology Institute (ESSTI),"AIVT by
Smart Satellite",$1.5 million in total funded jointly by the Belt & Road Initiative and Sunny Group.,1500000,USD,,,,,,,A - sensoriamento remoto,sim,Ethiopia,2020-12-22
ficha da missão (campo Costs),etpack-dmm-eem,E.T.PACK DMM & EEM,12U,Universidad Carlos III de Madrid,"AIVT by
?",€5.5M,5500000,EUR,,,,,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5419&context=smallsat,—,não,Spain,not launched
ficha da missão (campo Costs),exoterra-cubesat,COURIER SEP DEMO,12U,Exoterra Resource,,$2 million from NASA Tipping Point.,2000000,USD,,,,,,https://www.nasa.gov/press-release/nasa-announces-new-tipping-point-partnerships-for-moon-and-mars-technologies,—,não,US,not launched
ficha da missão (campo Costs),facsat,FACSAT-2,6U,Colombian Air Force,"AIVT by
GomSpace","$770,000",770000,USD,,,,,,https://gomspace.com/news/the-colombian-air-force-initiates-its-second-.aspx,—,não,Colombia,2023-04-15
ficha da missão (campo Costs),giot,GIOT 3?,6U,NanoAvionics,"AIVT by
NanoAvionics",Single platform: $11.3 million,11300000,USD,,$11.3 million,11300000,,,https://spacenews.com/nanoavionics-ksat-antwerp-space-raise-11-3-million-for-internet-of-things-constellation/,B - coleta de plataformas (DCS/IoT),sim,Lithuania,x_cancelled
ficha da missão (campo Costs),gomx-5,GOMX-5,8U,GomSpace,"AIVT by
GomSpace",Over $2 million in total as of 2020.,2000000,USD,,,,,,https://gomspace.com/news/esa-and-gomspace-sign-contract-for-continuati.aspx,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,Denmark,not launched
texto livre (Description),good-ancestor,Good Ancestor Kilakila,2U,Good Ancestor Foundation,AIVT by Satslice,$300k,300000,USD,,,,,"mit information to regular cell phones on response interventions for a catastrophe that disables comms infrastructure (~$300k). In a scenario such as widespread nuclear EMPs, this technology could be fundamental for distributing information on h",,B - coleta de plataformas (DCS/IoT),sim,US,2025-06-23
texto livre (Description),good-ancestor,Good Ancestor Kilakila,2U,Good Ancestor Foundation,AIVT by Satslice,$230k,230000,USD,,,,,"pulation. Good news, we have already built the first 2u test satellite , and paid for the launch, that came in at about $230k (hardware and launch). Obviously there's a lot of free/unaccounted labor in there, and some choices that we would not m",,B - coleta de plataformas (DCS/IoT),sim,US,2025-06-23
texto livre (Description),good-ancestor,Good Ancestor Kilakila,2U,Good Ancestor Foundation,AIVT by Satslice,$500k,500000,USD,,,,,"unaccounted labor in there, and some choices that we would not make on the production units, which would be more in the $500k range most ideally. These have LoRA radios, SDR, VHF, etc",,B - coleta de plataformas (DCS/IoT),sim,US,2025-06-23
ficha da missão (campo Costs),hammer,HAMMER,6U,Open Cosmos,"AIVT by
Open Cosmos",£3 million to support the build of the new satellite,3000000,GBP,,,,,,https://www.open-cosmos.com/news/open-cosmos-to-build-the-uk-pathfinder-atlantic-constellation-satellite-to-use-ai-to-improve-environmental-management,—,não,UK,2024-03-04
ficha da missão (campo Costs),hermes,HERMES H6,3U,INAF (National Institute for Astrophysics),AIVT by Politecnico di Milano,"$3,950,000 for the whole consortium including 6 spacecraft (HERMES-SP, HERMES-TP) with launches and operations",3950000,USD,,,,,,https://cordis.europa.eu/project/rcn/218722/factsheet/en,—,não,Italy,2025-03-15
ficha da missão (campo Costs),hyperion,Hyperion 1,12U,Inovor,"AIVT by
Inovor",$3.85 million,3850000,USD,,,,,,https://www.minister.defence.gov.au/minister/melissa-price/media-releases/28-million-innovation-boost-australias-defence-industry,—,não,US,not launched
ficha da missão (campo Costs),infante,Infante,16U,Tekever,,$10 million for total costs of the consortium.,10000000,USD,,,,,,https://www.tekever.com/projects/infante/,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,Portugal,x_cancelled
ficha da missão (campo Costs),inspiresat,InspireSAT,12U,StarSpec,"AIVT by
?",$2.15 million,2150000,USD,,,,,,https://spaceq.ca/starspec-12u-inspiresat-demo-satellite-launch-expected-mid-2027/,A(fraco) - câmera sem alvo declarado,não,Canada,not launched
ficha da missão (campo Costs),intuition-1,Intuition-1,6U,KP Labs,"AIVT by
AAC Clyde Space","$1,200,000 for design, manufacturing, launch and early operations. $650,000 is for the platform.",1200000,USD,,"$650,000",650000,,,http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-wins-5-msek-launch-order-from-kp-labs-69761?page=3 | http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-wins-5-msek-launch-order-from-kp-labs-69761?page=3,A - sensoriamento remoto,sim,Poland,2023-11-11
ficha da missão (campo Costs),io-1,Io-1,4U,Iota Technology,"AIVT by
AAC Clyde Space",$2.5 million for end-to-end 3-year mission.,2500000,USD,,,,,,https://investor.aac-clyde.space/en/press-releases/?slug=aac-clyde-space-wins-sek-25-5-m-order-for-magquest-mission-21158,—,não,US,2026-03-30
texto livre (Description),io-1,Io-1,4U,Iota Technology,"AIVT by
AAC Clyde Space","£1,500,000",1500000,GBP,,,,,"ion. Iota Technology Ltd (UK) and partners STFC RAL Space (UK), Oxford Space Systems Ltd (UK) and Twinleaf LLC (USA), - £1,500,000 - High-accuracy nanosatellite magnetometry which will form the primary payload of the Io-1 CubeSat. It will raise the at",,—,não,US,2026-03-30
ficha da missão (campo Costs),iod-2,IOD Mission 2,3U,Satellite Applications Catapult,"AIVT by
?","$1,880,000 for four 3U IOD Mission platforms",1880000,USD,,"$470,000",470000,,,https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success | https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success,—,não,UK,x_cancelled
ficha da missão (campo Costs),iod-3,Amber-1,6U,Horizon Technologies,"AIVT by
AAC Clyde Space","$1,880,000 for four 3U IOD Mission platforms and $265,000 to upgrade this into 6U",1880000,USD,,"$735,000",735000,,,https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success | https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,2023-01-09
ficha da missão (campo Costs),iod-4,IOD Mission 4,3U,Satellite Applications Catapult,"AIVT by
?","$1,880,000 for four 3U IOD Mission platforms",1880000,USD,,"$470,000",470000,,,https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success | https://www.clyde.space/latest/56-clyde-space-catapults-to-more-success,—,não,UK,x_cancelled
ficha da missão (campo Costs),ionsat,IonSat,6U,Ecole Polytechnique,,Budget total estimate: 1.4 M€.,,,,,,,,https://www.polytechnique.edu/recherche/chaires/les-chaires-de-transports-mobilites-et-espace/mecenat-denseignement-espace-science-et-defis-du-spatial/centre-spatial-de-lecole-polytechnique/ionsat,—,não,France,not launched
ficha da missão (campo Costs),juventas,Juventas,6U,ESA (European Space Agency),"AIVT by
GomSpace",$13 million to deliver spacecraft and payloads.,13000000,USD,,$7.2M for GomSpace,7200000,,,https://spacewatch.global/2020/08/esa-and-gomspace-sign-contract-for-implementation-of-the-juventas-cubesat-in-support-of-the-hera-mission/ | https://spacewatch.global/2020/08/esa-and-gomspace-sign-contract-for-implementation-of-the-juventas-cubesat-in-support-of-the-hera-mission/,—,não,France,2024-10-07
ficha da missão (campo Costs),kelpie,Kelpie 2,3U,AAC Clyde Space,"AIVT by
AAC Clyde Space","$5,900,000 for the manufacturing, launch and long-term operations of two CubeSats",5900000,USD,,,,,,http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-to-deliver-enhanced-ais-data-exclusively-to-orb-70246,C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,2023-06-12
ficha da missão (campo Costs),kepler-tars,Kepler 3 TARS,6U,Kepler Communications,"AIVT by
AAC Clyde Space","$880,000 grant for the mission (actual CubeSat costs unknown)",880000,USD,,,,,,,B - coleta de plataformas (DCS/IoT),sim,Canada,2020-09-03
ficha da missão (campo Costs),kss-bobcat,KSS-BOBCAT,6U,Kawa Space,"AIVT by
AAC Clyde Space",$1.6M,1600000,USD,,,,,,https://www.satelliteevolution.com/post/aac-clyde-space-wins-sek-16-1-m-satellite-order-from-kawa-space,A - sensoriamento remoto,sim,India,not launched
ficha da missão (campo Costs),kuwaitsat-1,KuwaitSat-﻿1,2U,Kuwait University,"AIVT by
NanoAvionics","$970,000",970000,USD,,,,,,https://english.news.cn/20220916/b70417c860e144e3a13ec34aaa421b69/c.html,A(fraco) - câmera sem alvo declarado,não,Kuwait,2023-01-03
texto livre (Description),lemur-2-hyms,Lemur-2 236 HyMS Demonstrator,16U,Spire,,£3.5 million,3500000,GBP,,,,,"lt, and tested by Spire’s teams in Glasgow, Scotland. OHMS-Sat (Operational Hyperspectral Microwave Sounder-Satellite): £3.5 million Led by Spire Global in partnership with STAR-Dundee, the Met Office and STFC RAL Space. This project will build on the ",,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,US,2026-01-11
ficha da missão (campo Costs),llited,LLITED B,1.5U,Aerospace Corporation,,"$2,520,000 for two spacecraft and mission including launch and operations",2520000,USD,,,,,,https://aerospace.org/press-release/aerospace-awarded-nasa-llited-grant,A - sensoriamento remoto,sim,US,2023-04-15
ficha da missão (campo Costs),lusospace-3u,PoSAT-2,3U,LusoSpace,,AAC Clyde Space won a GBP 4.3 M order for 11 satellite kits from LusoSpace.,4300000,GBP,,,,,,https://www.aac-clyde.space/articles/interim-report-for-aac-clyde-space-ab-publ-january-march-2024,C - sinais cooperativos (AIS/ADS-B/RF),sim,Portugal,2025-01-14
ficha da missão (campo Costs),m-argo,M-ARGO,12U,ESA (European Space Agency),"AIVT by
GomSpace","$450,000 for Phase-A",450000,USD,,,,,,https://gomspace.com/news/gomspace-to-design-worlds-first-stand-alone-n.aspx,A(fraco) - câmera sem alvo declarado,não,France,not launched
ficha da missão (campo Costs),macsat,MACSAT,6U,OQ Technology,"AIVT by
NanoAvionics",$2.4 million,2400000,USD,,,,,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2023-10-09
ficha da missão (campo Costs),mantis-us,MANTIS,16U,University of Colorado Boulder,,$8.5M,8500000,USD,,,,,,https://lasp.colorado.edu/missions/mantis/,—,não,US,not launched
ficha da missão (campo Costs),marco,MarCO 2,6U,NASA Jet Propulsion Laboratory,,"$18,500,000 for two spacecraft and all project costs",18500000,USD,,,,,,https://mars.nasa.gov/news/8408/beyond-mars-the-mini-marco-spacecraft-fall-silent/,A - sensoriamento remoto,sim,US,2018-05-05
ficha da missão (campo Costs),mh1,MH-1,3U,CEiiA,"AIVT by
?",Investment of €2.8 million funded by PT2020.,2800000,EUR,,,,,,https://cmuportugal.org/media/mh-1-the-first-satellite-totally-developed-in-portugal-was-launched-to-space/,A - sensoriamento remoto; B - coleta de plataformas (DCS/IoT),sim,Portugal,2024-03-04
ficha da missão (campo Costs),mir-sat1,MIR-SAT1,1U,Mauritius Research Council,"AIVT by
AAC Clyde Space","$405,00 for platform, operations, ground stations and training.",40500,USD,sim,,,,,http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-formalizes-collaboration-with-mauritius-researc-67858?page=4,A - sensoriamento remoto,sim,Mauritius,2021-06-03
ficha da missão (campo Costs),mobius,MOBIUS,3U,Galaxia,,$2.8 million,2800000,USD,,,,,,https://spaceq.ca/galaxias-mobius-1-progresses-towards-june-launch/,—,não,Canada,2025-06-23
ficha da missão (campo Costs),nanomagsat,NanoMagSat C,16U,Open Cosmos,"AIVT by
Open Cosmos",€34.6M,34600000,EUR,,,,,,https://www.ipgp.fr/en/news-and-agenda/news/la-mission-nanomagsat-obtient-le-feu-vert-de-lesa/,A - sensoriamento remoto,sim,UK,not launched
ficha da missão (campo Costs),neptuno,NEPTUNO,3U,Elecnor Deimos,,$2.8M is the total budget.,2800000,USD,,,,,,https://elecnor-deimos.com/portfolio/neptuno/,—,não,Spain,2021-06-30
ficha da missão (campo Costs),nslcomm-nslsat,NSLSat 2,6U,BeetleSat (NSLComm),"AIVT by
AAC Clyde Space","$1.5 million for the &U satellite, launch and operations plus a ground segment software solution.",1500000,USD,,,,,,https://investor.aac-clyde.space/en/press-releases/aac-clyde-space-wins-15-msek-satellite-order-from-nslcomm-74601,—,não,Israel,2023-01-03
texto livre (Description),openorbiter-1,OpenOrbiter-1,1U,University of North Dakota,,"$5,000",5000,USD,,,,,"cost commercial off-the-shelf parts and easily-to-fabricate printed circuit boards that can be made using the budget of $5,000 in parts for a basic spacecraft.",,—,não,US,x_cancelled
ficha da missão (campo Costs),ops-sat-volt,OPS-SAT VOLT,16U,Craft Prospect,"AIVT by
AAC Clyde Space",$2.5 million,2500000,USD,,,,,,https://www.aac-clyde.space/articles/interim-report-for-aac-clyde-space-ab-publ-january-march-2024,A - sensoriamento remoto,sim,UK,not launched
texto livre (Description),ops-sat-volt,OPS-SAT VOLT,16U,Craft Prospect,"AIVT by
AAC Clyde Space",€17,17,EUR,,,,,"y of UK and Scottish partners across the supply chain. The close-out of the PDR ends the first phase of Ops-Sat VOLT, a €17Mn mission with a payload designed by CPL comprised of three main components: a classical and quantum optical laser comm",,A - sensoriamento remoto,sim,UK,not launched
ficha da missão (campo Costs),ops-sat,OPS-SAT,3U,ESA (European Space Agency),AIVT by Graz University of Technology,$2.66 million,2660000,USD,,,,,,https://www.eurekalert.org/pub_releases/2019-12/guot-ssl121819.php,A(fraco) - câmera sem alvo declarado,não,Austria,2019-12-18
ficha da missão (campo Costs),outernet-1u,Outernet 1U Demo 3,1U,Outernet,"AIVT by
AAC Clyde Space","$1,250,000 for three Outernet CubeSat platforms",1250000,USD,,"$415,000",415000,,,http://www.spacedaily.com/reports/Clyde_Space_wins_Outernet_contract_999.html | http://www.spacedaily.com/reports/Clyde_Space_wins_Outernet_contract_999.html,—,não,US,x_cancelled
ficha da missão (campo Costs),pisat-poland,PIAST C,6U,Poland’s Armed Forces,"AIVT by
Creotech","$18 million, of which about 40 percent will be allocated to Creotech Instruments to finance its share of the work.",18000000,USD,,,,,,https://spacenews.com/polish-armed-forces-enlist-industry-consortium-for-imaging-nanosatellites/,A - sensoriamento remoto,sim,Poland,x_cancelled
ficha da missão (campo Costs),pixl-1,"PIXL-1,",3U,DLR (German Aerospace Center),"AIVT by
GomSpace","$560,000 for the single CubeSat platform",560000,USD,,"$560,000",560000,,,https://gomspace.com/news/gomspace-closes-order-for-a-nano-satellite-pl.aspx | https://gomspace.com/news/gomspace-closes-order-for-a-nano-satellite-pl.aspx,—,não,Germany,2021-01-24
ficha da missão (campo Costs),polsir,PolSIR B,12U,Vanderbilt University,"AIVT by
Blue Canyon","Up to $37 million, not including launch costs.",37000000,USD,,,,,,https://news.vanderbilt.edu/2023/05/25/vanderbilt-universitys-ralf-bennartz-to-lead-nasa-mission-to-study-ice-clouds/,—,não,US,not launched
ficha da missão (campo Costs),prefire,PREFIRE-1,6U,University of Wisconsin,"AIVT by
?",$33 million,33000000,USD,,,,,,https://spacenews.com/rocket-lab-to-launch-pair-of-nasa-earth-science-cubesats/,A - sensoriamento remoto,sim,US,2024-06-05
texto livre (Description),qac-1,QAC-1 D,PocketQube 6p,Quub,,INR18650,18650,INR,,,,,scope seated in a mounting bracket. The solar arrays utilize Gran Systems photovoltaic cells; the batteries are Samsung INR18650 cells. The satellite’s frame is fabricated of Windform and FR4 printed circuit board to hold components in place and pro,,A - sensoriamento remoto,sim,US,not launched
ficha da missão (campo Costs),race-esa,RACE 2,6U,ESA (European Space Agency),"AIVT by
GomSpace","$450,000 for the first phase A of two CubeSats for the larger consortium",450000,USD,,,,,,https://gomspace.com/news/gomspace-signs-contract-with-the-european-spa.aspx,—,não,France,x_cancelled
texto livre (Description),rospin-sat-1,ROSPIN-SAT-1,3U,ROSPIN,,€20.000,20,EUR,,,,," technical documentation for the European Space Agency - ESA, our team prepared a detailed grant application requesting €20.000 from Ministerul Cercetării, Inovării și Digitalizării to start developing flight hardware for the satellite. Our applica",,A - sensoriamento remoto,sim,Romania,not launched
texto livre (Description),sbudnic,SBUDNIC,3U,Brown University,,"$10,000",10000,USD,,,,,"to be one of the fastest sketch-to-launch developments of a 3U cubesat. Period. SBUDNIC’s total budget is approximately $10,000 USD; we are working to meet our aggressive timeline by utilizing as many terrestrial components as possible. Our mission",,A(fraco) - câmera sem alvo declarado,não,US,2022-05-25
ficha da missão (campo Costs),seahawk,SeaHawk-2,3U,University of North Carolina Wilmington,"AIVT by
AAC Clyde Space","$1,680,000 for two CubeSat platforms",1680000,USD,,"$840,000",840000,,,http://www.satnews.com/story.php?number=972377587 | http://www.satnews.com/story.php?number=972377587,A - sensoriamento remoto,sim,US,x_cancelled
ficha da missão (campo Costs),seam,SEAM-2.0,3U,Royal Institute of Technology (KTH),"AIVT by
GomSpace","$3,000,000 for the whole project and consortium including platform and launch",3000000,USD,,,,,,https://cordis.europa.eu/project/rcn/188846/factsheet/en,—,não,Sweden,2019-07-05
ficha da missão (campo Costs),soar,SOAR,3U,University of Manchester,"AIVT by
GomSpace",€5.7 million,5700000,EUR,,,,,,https://discoverer.space/soar-satellite-for-orbital-aerodynamics-research/,—,não,UK,2021-06-03
ficha da missão (campo Costs),spirit,SpIRIT,6U,University of Melbourne,"AIVT by
Inovor",AU$7 million.,7000000,AUD,,,,,,https://www.space.gov.au/australian-spirit-launches-to-space,A(fraco) - câmera sem alvo declarado,não,Australia,2023-12-01
ficha da missão (campo Costs),sprite,SPRITE,12U,University of Colorado Boulder,,$4 million,4000000,USD,,,,,,https://spacenews.com/cubesat-offers-template-for-future-astronomy-missions/,—,não,US,not launched
ficha da missão (campo Costs),sroc,SROC,12U,Politecnico di Torino,"AIVT by
Terran Orbital",$4.7 million,4700000,USD,,,,,,https://terranorbital.com/terran-orbital-awarded-4-7-million-contract-by-european-space-agency/,A - sensoriamento remoto,sim,Italy,not launched
ficha da missão (campo Costs),sulis,SULIS-E2,12U,Northumbria University,"AIVT by
?",$105 million for the whole consortium,105000000,USD,,,,,,https://sulis.space/management-structure/,A(fraco) - câmera sem alvo declarado,não,UK,x_cancelled
ficha da missão (campo Costs),sunrise,SunRISE 6,6U,NASA Jet Propulsion Laboratory,AIVT by Utah State University Space Dynamics Laboratory,"$62.6 million to design, build, and launch the SunRISE mission.",62600000,USD,,,,,,https://www.nasaspaceflight.com/2020/03/sunrise-mission-study-giant-solar-particle-storms/,—,não,US,not launched
ficha da missão (campo Costs),swarm-ex,SWARM-EX C,3U,Olin College,,$4 million,4000000,USD,,,,,,https://digitalcommons.usu.edu/smallsat/2022/all2022/96/,—,não,US,not launched
ficha da missão (campo Costs),tempest-d,TEMPEST-D,6U,Colorado State University,"AIVT by
Blue Canyon",$8.2 million,8200000,USD,,,,,,http://www.spacedaily.com/reports/Small_nimble_CSU_satellite_has_surpassed_a_year_in_space_999.html,A - sensoriamento remoto,sim,US,2018-05-21
ficha da missão (campo Costs),tiger-2,Tiger-2,6U,OQ Technology,"AIVT by
NanoAvionics",$2.4 million,2400000,USD,,,,,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2021-06-30
ficha da missão (campo Costs),tiger-oqtechnology,Tiger-8,6U,OQ Technology,"AIVT by
NanoAvionics",$2.4 million,2400000,USD,,,,,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2024-03-04
texto livre (Description),ttu100,TTU100,1U,Tallinn University of Technology,,eur 10.450,10,EUR,,,,,ervation cameras and high-speed X-band COM. Perform remote sensing in visible and IR electromagnetic spectrum. Test amateur 10.450 – 10.500 GHz band frequencies for high-speed data downlink operations.,,A - sensoriamento remoto,sim,Estonia,2020-09-03
ficha da missão (campo Costs),ukube-1,UKube-1,3U,UK Space Agency,"AIVT by
AAC Clyde Space","$1,000,000 for CubeSat platform and ground segment",1000000,USD,,,,,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/350503/National_Space_Programmes_2014_to_2015.pdf,A - sensoriamento remoto,sim,UK,2014-07-08
ficha da missão (campo Costs),vpm,VPM,6U,Air Force Research Laboratory (AFRL),,$4.5 million for the program,4500000,USD,,,,,,https://www.aflcmc.af.mil/News/Article-Display/Article/2034623/afrl-technology-set-for-launch-to-international-space-station/,—,não,US,2019-12-05
ficha da missão (campo Costs),windcube,WindCube,6U,National Center for Atmospheric Research (NCAR),,$6.5 million,6500000,USD,,,,,,https://digitalcommons.usu.edu/smallsat/2022/all2022/62/,—,não,US,not launched
ficha da missão (campo Costs),wyvern-cubesats,EPICHyper-3,6U,AAC Clyde Space,"AIVT by
AAC Clyde Space",$12.1 million from the UK Space Agency together for the first and second phases.,12100000,USD,,,,,,https://spacenews.com/aac-clyde-space-to-develop-cubesats-to-offer-array-of-services/,A - sensoriamento remoto,sim,UK,2023-11-11
ficha da missão (campo Costs),xspancion,VIREON-10,16U,AAC Clyde Space,"AIVT by
AAC Clyde Space",$12.1 million from the UK Space Agency together for the first and second phases.,12100000,USD,,,,,,https://spacenews.com/aac-clyde-space-to-develop-cubesats-to-offer-array-of-services/,A - sensoriamento remoto,sim,UK,not launched
