nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
AMICal Sat,amical-sat,https://www.nanosats.eu/sat/amical-sat.html,2020-09-03,Reentry 2025-01-14. Was operational (Official post on social media and SatNOGS dashboard as of 2020-09-24),"Reentered, Operational",A - sensoriamento remoto,sim,"AMICal Sat became our longest-serving satellite, remaining responsive for more than 5 years.",https://www.linkedin.com/posts/satrev-s-a_spaceexploration-satellitetechnology-cubesat-activity-7293237721819484161-TZ15?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,CSUG-IPAG (Univ. Grenoble Alpes),,2U,Observation of the northern and southern lights. Auroral Sparse RGB imaging. Limb and Nadir sighting.
TTU100,ttu100,https://www.nanosats.eu/sat/ttu100.html,2020-09-03,,"Reentered, Semi-operational, ?",A - sensoriamento remoto,sim,"Last signal was given by the satellite 2024-08-11 at 20:41 and on the night of August 12, 2024, the satellite burned up in the atmosphere.",https://www.facebook.com/tudengisatelliit/posts/pfbid0DvV9PuWf16UvxaX6w9QZmjMys4MUcXvCND6HpQjyG2ZL7yYVpetQb8rhTwVASWiYl,,Tallinn University of Technology,Estonia,1U,Educational training and demonstrate CubeSat platform plus cameras and X-band communications.
Tyvak-0171,tyvak-0171,https://www.nanosats.eu/sat/tyvak-0171.html,2020-09-03,"Reentry 2024-02-10. Was semi-operational? (Propulsion failed and did not reach nominal operational altitude, but otherwise likely operational)","Reentered, Semi-operational, ?",—,não,,,Propulsion from a supplier failed.,EchoStar,US,6U,Two tiny S-band satellites to jumpstart a low-Earth-orbit constellation using spectrum gained through its acquisition of Helios Wire.
LacunaSat-3,lacunasat,https://www.nanosats.eu/sat/lacunasat.html,2020-09-28,,"Reentered, Operational",B - coleta de plataformas (DCS/IoT),sim,"After a successful launch in March 2021, Open Cosmos was able to establish contact with the satellite at the first pass and following a period of commissioning, the LS2 satellite quickly began collecting and transmitting data, connecting to Open Cosmos ground stations to download the data every 12 hours. With this frequency of revisit, Lacuna Space was able to provide customers with an automated process of tracking and monitoring their remote assets on a daily basis and providing very high levels of reliability with an uptime exceeding 99.7%.",https://www.open-cosmos.com/news/ls2-bringing-connectivity-to-remote-locations,,Lacuna Space,UK,3U,Innovative Internet-of-Things (‘IoT’) connectivity-via-satellite payload demonstrator.
Yarilo N1,yarilo,https://www.nanosats.eu/sat/yarilo.html,2020-09-28,,"Reentered, Operational",A(fraco) - câmera sem alvo declarado,não,"No more than 20% of radio packets are decrypted on the MCC. The main reason is a drop in the output power of the transmitter during transmitting a radio package. The reason is the degradation of the output microwave switch that the antenna between the power amplifier and the receiving path. Due to degradation, the SWR of the line deteriorated and the signal reflected from the microwave switch leads to self-excitation of the power amplifier, followed by a sharp increase in power consumption and a drawdown of the power supply voltage, which leads to a decrease in the output power of the amplifier. The process is repeated.
The magnetic orientation system is functioning, but the solar orientation is not built. There is not enough data to analyze the causes yet.
The orientation system on the flywheel engines did not turn on.
The operability of both technological cameras was confirmed after ~11 months of flight (Fig. 15). The data is transmitted in full but is damaged when transmitted over the radio channel. The selected format for storing and transferring photos is wrong (JPG). We plan to update the onboard software for data transmission in RAW format","https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf | https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf | https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf | https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf",,Bauman Moscow State Technical University,Russia,1.5U,Continuous monitoring of solar activity and a solar sail for orbit control.
Yarilo N2,yarilo,https://www.nanosats.eu/sat/yarilo.html,2020-09-28,,"Reentered, Operational",A(fraco) - câmera sem alvo declarado,não,"No more than 20% of radio packets are decrypted on the MCC. The main reason is a drop in the output power of the transmitter during transmitting a radio package. The reason is the degradation of the output microwave switch that the antenna between the power amplifier and the receiving path. Due to degradation, the SWR of the line deteriorated and the signal reflected from the microwave switch leads to self-excitation of the power amplifier, followed by a sharp increase in power consumption and a drawdown of the power supply voltage, which leads to a decrease in the output power of the amplifier. The process is repeated.
The magnetic orientation system is functioning, but the solar orientation is not built. There is not enough data to analyze the causes yet.
The orientation system on the flywheel engines did not turn on.
The operability of both technological cameras was confirmed after ~11 months of flight (Fig. 15). The data is transmitted in full but is damaged when transmitted over the radio channel. The selected format for storing and transferring photos is wrong (JPG). We plan to update the onboard software for data transmission in RAW format","https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf | https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf | https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf | https://iafastro.directory/iac/proceedings/IAC-21/IAC-21/E2/4/manuscripts/IAC-21,E2,4,8,x65729.pdf",,Bauman Moscow State Technical University,Russia,1.5U,Continuous monitoring of solar activity and a solar sail for orbit control.
SPOC,spoc,https://www.nanosats.eu/sat/spoc.html,2020-10-03,Reentry 2022-06-25. Was operational until 2020-12-14? (SatNOGS reports with data end on 2020-12-13 and Twitter post asking for help),"Reentered, Was operational",A - sensoriamento remoto,sim,,,"However, around December 9, temperature on the battery board and the CMC began to spike. On December 14, the last telemetry frame was received from SPOC by SatNOGS ground station EU1XX. SPOC’s last known state was Safe Reboot Mode on the Failsafe software image. Our best interpretation of these results is that a solar flare taking place on December 14 (the tenth largest of 2020) caused a single-event upset (SEU) or single-event latch-up (SEL), damaging hardware components on the electrical power system (EPS).",University of Georgia,US,2U,Perform the first moderate resolution multispectral analysis of coastal ecosystems and ocean color.
Dragracer 1,dragracer,https://www.nanosats.eu/sat/dragracer.html,2020-11-20,,"Reentered, Operational",—,não,The satellite with the drag tape burned upon reentry to Earth’s atmosphere after eight months. The satellite without tape will naturally de-orbit which is estimated to take at least seven years,https://spacenews.com/millennium-space-in-an-experiment-de-orbited-a-satellite-in-eight-months/,,TriSept,US,6U (1/2 12U XL),Test a deployable conductive tape by Tethers Unlimited for deorbiting.
Dragracer 2,dragracer,https://www.nanosats.eu/sat/dragracer.html,2020-11-20,,Operational,—,não,The satellite with the drag tape burned upon reentry to Earth’s atmosphere after eight months. The satellite without tape will naturally de-orbit which is estimated to take at least seven years,https://spacenews.com/millennium-space-in-an-experiment-de-orbited-a-satellite-in-eight-months/,,TriSept,US,6U (1/2 12U XL),Test a deployable conductive tape by Tethers Unlimited for deorbiting.
Mandrake 1,mandrake-1,https://www.nanosats.eu/sat/mandrake-1.html,2020-11-20,Reentry 2024-03-28. Was operational? (News about operations from 2021-05-12),"Reentered, Operational",—,não,"he fully operational orbital platform, launched Fall 2020, affords risk buy-down for future Blackjack payloads and has shown success executing a tactical maritime experiment demonstrating engineering complexities such as mission autonomy, over-the-air (OTA) updates, massless payload deployment, and sensor edge processing and exploitation, all of which are enabled by the SEAKR payload incorporating a high-performance multi-core Advanced RISC Machines (ARM) processor and multiple Graphic Processing Units (GPUs).",https://www.seakr.com/seakr-mandrake-i-delivers-success-for-darpa-blackjack-on-orbit-tech-demonstration/,,DARPA,US,6U,
Q-PACE,q-pace,https://www.nanosats.eu/sat/q-pace.html,2021-01-17,Reentry 2024-01-19? No signal (Statement on SpaceNews),"Reentered, No signal",A(fraco) - câmera sem alvo declarado,não,Marked as Failure in the NASA SmallSat/CubeSat Fleet Missions Database.,https://s3vi.ndc.nasa.gov/cubesat/,,University of Central Florida,US,3U,Producing tens of thousands of collisions simulating the first steps in planet formation.
RadFXSat-2,radfxsat-2,https://www.nanosats.eu/sat/radfxsat-2.html,2021-01-17,"Reentry 2024-04-24. Was semi-operational (Beacon not heard strongly, but transponder is partially operational for public at reduced signal strength as of 2021-08-18. Working but weak signals as per SmallSat 2023 presentation)","Reentered, Semi-operational",—,não,"FoxTelem has received SEU data from RadFxSat-2 since approximately July 23, 2021 (the six-month gap between launch and first data packet delivery will be discussed in the following section). The REM experiment was dead-on-arrival, so only the LEP and LEPF experiments have recorded data. Results up to January 8, 2023, are presented.
The RadFxSat-2 satellite has provided the first on-orbit SEU data for a FinFET-based SRAM, producing rates that leave the authors optimistic for FinFET usage in LEO. Although technology below the 65 nm scale is more susceptible to low-energy protons, SEU rates within a proton-heavy environment such as LEO may still be within acceptable limits for many missions, especially if error-correction mechanisms are enabled.
As mentioned previously, there was a 6-month delay from the RadFxSat-2’s launch and reception of telemetry. This was due to communication issues with the satellite – extensive recovery attempts during this time produced no results, and the satellite’s telemetry downlink was feared to be dead-on-arrival.
RadFxSat-2 signals were, in fact, transmitting, but the signals were very weak. Extremely sensitive amateur radio satellite ground stations (namely, the Dwingloo 25m radio telescope, owned by ASTRON) listening on RadFxSat-2’s TLM downlink frequency picked up on telemetry frames from the satellite, allowing for communication debugging. Details of the debugging steps were published in The AMSAT Journal. It is hypothesized that a dual power amplifier chip onboard shorted which, coupled with an antenna that did not fully deploy, resulted in weak signal.25 The capable ground stations were used to execute uplink commands to the satellite and turn on the radiation experiments, initiating experiment telemetry downlink at extremely weak power levels.",https://digitalcommons.usu.edu/smallsat/2023/all2023/50/ | https://digitalcommons.usu.edu/smallsat/2023/all2023/50/ | https://digitalcommons.usu.edu/smallsat/2023/all2023/50/ | https://digitalcommons.usu.edu/smallsat/2023/all2023/50/,"It is hypothesized that a dual power amplifier chip onboard shorted which, coupled with an antenna that did not fully deploy, resulted in weak signal.",Vanderbilt University,,3U,"Demonstrate a short interval, cost-effective, on-orbit platform for qualification of components for space."
TechEdSat-7,techedsat-7,https://www.nanosats.eu/sat/techedsat-7.html,2021-01-17,Reentry 2022-05-04. Was operational until ? (NASA news about mission start and marked as Complete in the NASA database),"Reentered, Was operational, ?",—,não,Successfully demonstrated hydrogen inflation Exo Brake design and new TES avionics.,http://mstl.atl.calpoly.edu/~workshop/archive/2023/presentations/2023_Day1_Session1_Brock_MooneyRivki_TechEdSat.pdf,,NASA Ames Research Center,,2U,Further develop the Exo-Brake system and demonstrate CubeSat Identity Tag (CUBIT) by DARPA.
IDEASSat,ideassat,https://www.nanosats.eu/sat/ideassat.html,2021-01-24,"Reentry 2024-12-14. Was operational (SmallSat 2021, UHF communications blackout started 2021-02-15 and continued until 2021-04-02)","Reentered, Operational",—,não,,,Some UHF transceiver issues and partial solar panel deployment.,National Central University,Taiwan,3U,Measure ionospheric structure and plasma irregularities for radio communications monitoring. Compact ionosphere probe.
Lemur-2 132 Mango1,lemur-mango,https://www.nanosats.eu/sat/lemur-mango.html,2021-01-24,Reentry 2024-05-09. Was operational.,"Reentered, Operational",C - sinais cooperativos (AIS/ADS-B/RF),sim,"Successful on-orbit performance marks another major milestone for Jacobs in advanced, affordable space radar payloads for military, civil and commercial customers. Mango One has successfully completed payload checkout and begun performing radio frequency (RF) survey missions using the modular and scalable Jacobs next generation active electronically scanned arrays (AESA) and advanced RF payload control electronics. Additional demonstrations of radar and communications capabilities will continue.",https://invest.jacobs.com/investors/Press-Release-Details/2021/Jacobs-Mango-One-Satellite-on-Orbit-Laying-Pathway-for-Next-Generation-Affordable-Space-Solutions/default.aspx?,,Spire,US,3U,"Demonstrate and qualify radar, communications and intelligence capabilities in space."
"PIXL-1,",pixl-1,https://www.nanosats.eu/sat/pixl-1.html,2021-01-24,Operational (eoPortal was provided with confirmation and press release on 2023-10-30),Operational,—,não,"During the PIXL-1 mission, DLR was able to demonstrate complete end-to-end transmission, from image acquisition and data transfer by laser to processing on the ground, marking a significant first.
The technology has been transferred to industry and is now being marketed by TESAT with the name 'CubeLCT' / 'SCOT20'
.
With a data rate of 100 megabits per second, the laser terminal's speed far surpasses the transmission capabilities of comparable radio systems. In addition to the high data rate, laser light as a transmission medium is unaffected by electromagnetic interference. Channel crosstalk, as often occurs with conventional radio channels, does not exist with laser transmission. This means that laser transmission channels do not require lengthy approval procedures on the part of the Federal Network Agency (Bundesnetzagentur; BNetzA) or the International Telecommunication Union (ITU).
German space control center commands small satellite with next-generation software via Cubesat Space protocol, 2024-03-15.
Some challenges:
After stabilizing the star tracker, further experiments showed that the star tracker cannot operate in some specific sky regions at all.
During the PIXL-1 mission it was not possible to frequently download GPS-data from CubeL, because of a limited power budget.
On the 13th of June 2023 DLR could for the first time establish a stable tracking connection between the OGSOP-NG and O4C. After a short bad weather period, this success could be repeated on the 25th of June.",https://www.dlr.de/en/latest/news/2023/04/demonstration-of-data-transmission-from-a-microsatellite-by-laser | https://www.dlr.de/en/latest/news/2023/04/demonstration-of-data-transmission-from-a-microsatellite-by-laser | https://www.dlr.de/en/latest/news/2023/04/demonstration-of-data-transmission-from-a-microsatellite-by-laser | https://www.dlr.de/de/blog/archiv/2024/deutsches-raumfahrtkontrollzentrum-kommandiert-kleinsatellit-mit-software-der-naechsten-generation-via-cubesat-space-protokoll | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/55240b1565c44418aa7c7d67ebdf9c5e | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/55240b1565c44418aa7c7d67ebdf9c5e | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/55240b1565c44418aa7c7d67ebdf9c5e,,DLR (German Aerospace Center),Germany,3U,Demonstration of the OSIRIS optical demonstration payload for CubeSats.
UVSQ-Sat,uvsq-sat,https://www.nanosats.eu/sat/uvsq-sat.html,2021-01-24,Reentry 2024-10-30. Was operational (Post on LinkedIn in 2022-02-31),"Reentered, Operational",B - coleta de plataformas (DCS/IoT),sim,"UVSQ-SAT, still fully operational, celebrates its third anniversary, 2024-01-24.
Joined in April 2023 by a second nano-satellite, INSPIRE-Sat 7, it continues its data collection mission. A third Cube-Sat, UVSQ-sat NG, will be launched in 2025 to join this first constellation of university nano-satellites dedicated to the observation of essential climate variables.
In three years, UVSQ-Sat has:
Completed more than 15,000 laps around the Earth.
Made more than 5,000 passes over the LATMOS based in Guyancourt (78), i.e. 5 passes per day.
Mobilized more than 70 radio amateurs, university space centers or companies that regularly monitor this satellite all over the world.
Provided over 20 million telemetry measurements.
Delivers over 3 million scientific data points – including Solar Reflected Flux (OSR) and Earth IR Flux (OLR).",https://www.uvsq.fr/24-janvier-2021-24-janvier-2024-uvsq-sat-fete-son-troisieme-anniversaire-en-orbite | https://www.uvsq.fr/24-janvier-2021-24-janvier-2024-uvsq-sat-fete-son-troisieme-anniversaire-en-orbite | https://www.uvsq.fr/24-janvier-2021-24-janvier-2024-uvsq-sat-fete-son-troisieme-anniversaire-en-orbite | https://www.uvsq.fr/24-janvier-2021-24-janvier-2024-uvsq-sat-fete-son-troisieme-anniversaire-en-orbite | https://www.uvsq.fr/24-janvier-2021-24-janvier-2024-uvsq-sat-fete-son-troisieme-anniversaire-en-orbite | https://www.uvsq.fr/24-janvier-2021-24-janvier-2024-uvsq-sat-fete-son-troisieme-anniversaire-en-orbite | https://www.uvsq.fr/24-janvier-2021-24-janvier-2024-uvsq-sat-fete-son-troisieme-anniversaire-en-orbite,,University of Versailles Saint-Quentin-en-Yvelines (UVSQ),France,1U,Measure solar radiation and educational mission.
GuaraniSat-1,guaranisat-1,https://www.nanosats.eu/sat/guaranisat-1.html,2021-02-20,"Reentry 2022-07-05. Was operational, but 2 of 3 had solar panel failures and negative power budget (Signals reported on Twitter and SatNOGS as of 2021-03-27)","Reentered, Operational, ?",A(fraco) - câmera sem alvo declarado; B - coleta de plataformas (DCS/IoT),sim,"Full mission success.
Loss of two satellites due to power shortage.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,,Kyushu Institute of Technology,Paraguay,1U,Educational and amateur radio mission.
IT-SPINS,it-spins,https://www.nanosats.eu/sat/it-spins.html,2021-02-20,Reentry 2024-02-28. Was semi-operational? (Some communications issues due to spin but telemetry packets being received as per official website and should get better in the future as per CDW2022 presentation),"Reentered, Semi-operational",A(fraco) - câmera sem alvo declarado,não,,,"Communications issues, 1 in 50 attempts is successful. ADCS issues caused high spin.",Montana State University,,3U,Provide the first two-dimensional (2D) tomographic imaging addressing the basic nature of the nocturnal ionosphere.
Maya-2,maya-2,https://www.nanosats.eu/sat/maya-2.html,2021-02-20,"Reentry 2022-07-05. Was operational, but 2 of 3 had solar panel failures and negative power budget (Signals reported on Twitter and SatNOGS as of 2021-03-27)","Reentered, Operational, ?",A(fraco) - câmera sem alvo declarado; B - coleta de plataformas (DCS/IoT),sim,"Full mission success.
Loss of two satellites due to power shortage.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,Two BIRDS-4 had one solar panel failure and negative power budget. Need to confirm which ones.,Kyushu Institute of Technology,Philippines,1U,Educational and amateur radio mission.
Tsuru,tsuru,https://www.nanosats.eu/sat/tsuru.html,2021-02-20,"Reentry 2022-07-05. Was operational, but 2 of 3 had solar panel failures and negative power budget (Signals reported on Twitter and SatNOGS as of 2021-03-27)","Reentered, Operational, ?",A(fraco) - câmera sem alvo declarado; B - coleta de plataformas (DCS/IoT),sim,"Full mission success.
Loss of two satellites due to power shortage.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5233&context=smallsat,Two BIRDS-4 had one solar panel failure and negative power budget. Need to confirm which ones.,Kyushu Institute of Technology,Japan,1U,Educational and amateur radio mission.
GRBAlpha,grbalpha,https://www.nanosats.eu/sat/grbalpha.html,2021-03-22,Reentry 2025-06-09. Was operational (Official news on social media and SatNOGS reports),"Reentered, Operational",—,não,"Initial rotation rates were over 18 degrees per second, but slowing down with only passive attitude control.
First gamma-ray burst detected.",https://twitter.com/needronix/status/1376979407546507264?s=20 | https://gcn.gsfc.nasa.gov/gcn3/30624.gcn3,,Technical University of Kosice,,1U,Educational mission with digipeater and testing gamma-ray burst sensor.
LacunaSat-2b,lacunasat,https://www.nanosats.eu/sat/lacunasat.html,2021-03-22,,"Reentered, Operational",B - coleta de plataformas (DCS/IoT),sim,"After a successful launch in March 2021, Open Cosmos was able to establish contact with the satellite at the first pass and following a period of commissioning, the LS2 satellite quickly began collecting and transmitting data, connecting to Open Cosmos ground stations to download the data every 12 hours. With this frequency of revisit, Lacuna Space was able to provide customers with an automated process of tracking and monitoring their remote assets on a daily basis and providing very high levels of reliability with an uptime exceeding 99.7%.",https://www.open-cosmos.com/news/ls2-bringing-connectivity-to-remote-locations,,Lacuna Space,UK,3U,Innovative Internet-of-Things (‘IoT’) connectivity-via-satellite payload demonstrator.
NANOSATC-BR2,nanosatc-br2,https://www.nanosats.eu/sat/nanosatc-br2.html,2021-03-22,"Reentry 2025-01-15. Was semi-operational until 2021-05-02 (Beacons decoded, but uplink was challenging and then communcation bus locked up, according to official information request by Brazilian Space)","Reentered, Was semi-operational",—,não,,,"Temperatures well below the nominal range caused significant fluctuations in uplink and downlink frequencies. On May 2, telemetry frame started to be repeated due to lock of the communication bus likely due to the high solar activity.",National Institute for Space Research,Brazil,2U,"Langmuir probe, attitude determination system."
RAAF M2 A,raaf-m2,https://www.nanosats.eu/sat/raaf-m2.html,2021-03-22,,"Reentered, Operational",A(fraco) - câmera sem alvo declarado; C - sinais cooperativos (AIS/ADS-B/RF),sim,"Successfully commissioned several of our mostly in-house subsystems:
The attitude determination and control system (ADCS)
The software-defined radio (SDR)
The supervisor and GPS
The engineering camera
In addition, we’ve deployed the first of four deployable solar arrays on each of the spacecraft using our in-house burn wire mechanisms. The graphs below show the power generated by the solar cells before and after exposure to sunlight (top), and the dynamic response of the spacecraft due to the impulse of the deployment recorded by the ADCS sensors (bottom) for M2-B.
Operations for the coming weeks will be focused on rehearsing for the much awaited controlled separation, aka ""divorce"", of the two spacecraft!
In May 2021, successfully performed on board artificial intelligence inferencing (correctly recognising hand-written characters on pre-loaded images), to test the functionality of the AI environment and pipeline using the NVIDIA Jetson TX2 edge-computer on one of the two M2 satellites.
This is a necessary step before separating the two spacecraft from each other (currently joined, see the image) and, as the mission unfolds, coupling our AI algorithms and on-board sensors to perform tasks such as cloud detection and maritime surveillance.
In September 2021, the spacecraft were separated.",https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6805732956343275520/ | https://www.linkedin.com/feed/update/urn:li:activity:6805732956343275520/ | https://www.linkedin.com/feed/update/urn:li:activity:6845888471043854336/,,University of New South Wales (UNSW Canberra),Australia,6U (1/2 12U),Deliver to the RAAF AIS / ADS-B capability across the globe using COTS AIS and ADS-B systems.
RAAF M2 B,raaf-m2,https://www.nanosats.eu/sat/raaf-m2.html,2021-03-22,,"Reentered, Operational",A(fraco) - câmera sem alvo declarado; C - sinais cooperativos (AIS/ADS-B/RF),sim,"Successfully commissioned several of our mostly in-house subsystems:
The attitude determination and control system (ADCS)
The software-defined radio (SDR)
The supervisor and GPS
The engineering camera
In addition, we’ve deployed the first of four deployable solar arrays on each of the spacecraft using our in-house burn wire mechanisms. The graphs below show the power generated by the solar cells before and after exposure to sunlight (top), and the dynamic response of the spacecraft due to the impulse of the deployment recorded by the ADCS sensors (bottom) for M2-B.
Operations for the coming weeks will be focused on rehearsing for the much awaited controlled separation, aka ""divorce"", of the two spacecraft!
In May 2021, successfully performed on board artificial intelligence inferencing (correctly recognising hand-written characters on pre-loaded images), to test the functionality of the AI environment and pipeline using the NVIDIA Jetson TX2 edge-computer on one of the two M2 satellites.
This is a necessary step before separating the two spacecraft from each other (currently joined, see the image) and, as the mission unfolds, coupling our AI algorithms and on-board sensors to perform tasks such as cloud detection and maritime surveillance.
In September 2021, the spacecraft were separated.",https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6793001131409846272/ | https://www.linkedin.com/feed/update/urn:li:activity:6805732956343275520/ | https://www.linkedin.com/feed/update/urn:li:activity:6805732956343275520/ | https://www.linkedin.com/feed/update/urn:li:activity:6845888471043854336/,,University of New South Wales (UNSW Canberra),Australia,6U (1/2 12U),Deliver to the RAAF AIS / ADS-B capability across the globe using COTS AIS and ADS-B systems.
WildTrackCube – SIMBA,wildtrackcube,https://www.nanosats.eu/sat/wildtrackcube.html,2021-03-22,Reentry 2024-08-14. Was operational? (IAC 2022 paper and many SatNOGS reports last checked on 2021-03-27),"Reentered, Operational",A - sensoriamento remoto; B - coleta de plataformas (DCS/IoT),sim,"The telemetry on WildTrackCube-SIMBA is gathered every 60 seconds continuously.
The LEDs on-board WildTrackCube-SIMBA have been observed from ground on several occasions and have been used for early object recognition.
Spacecraft in action during detumbling, where the angular velocity was decreased from 50 deg/s to almost 0.
The 25-deg FOV camera has already been used to shoot pictures of the Earth, with two examples shown in Figure 10 and Figure 11. The first in particular contains images of human-made structures, clearly visible in the lower right corner.
The receiver was tested in several configurations, with the objective of finding the optimal one for reception of low power devices on ground.","https://iafastro.directory/iac/proceedings/IAC-22/IAC-22/B4/3/manuscripts/IAC-22,B4,3,12,x73652.pdf | https://iafastro.directory/iac/proceedings/IAC-22/IAC-22/B4/3/manuscripts/IAC-22,B4,3,12,x73652.pdf | https://iafastro.directory/iac/proceedings/IAC-22/IAC-22/B4/3/manuscripts/IAC-22,B4,3,12,x73652.pdf | https://iafastro.directory/iac/proceedings/IAC-22/IAC-22/B4/3/manuscripts/IAC-22,B4,3,12,x73652.pdf | https://iafastro.directory/iac/proceedings/IAC-22/IAC-22/B4/3/manuscripts/IAC-22,B4,3,12,x73652.pdf",,Sapienza University of Rome,Italy,1U,System for Improving monitoring the behaviour of animals and amateur radio mission.
CNCE1,cnce-block-1,https://www.nanosats.eu/sat/cnce-block-1.html,2021-06-30,,"Reentered, Retired, Operational",—,não,"Space Micro Inc., powered by Voyager Space, today announced the successful performance of its Software Defined Radios (SDRs) on Missile Defense Agency’s (MDA) CubeSat Networked Communications Experiment (CNCE) Block 1. Initially launched in June 2021 and completed in March 2022, CNCE Block 1, which is part of MDA’s Nanosat Testbed Initiative (NTI), used small, low-cost satellites to demonstrate networked radio communications between nanosatellites while in orbit
.
MDA retired the Block 1 satellites in March 2022 and they will de-orbit and burn up harmlessly in the atmosphere.",https://voyagerspace.com/2022/08/23/voyagers-space-micro-software-defined-radio-supports-success-of-missile-defense-agencys-cubesat-networked-communications-experiment/ | https://voyagerspace.com/2022/08/23/voyagers-space-micro-software-defined-radio-supports-success-of-missile-defense-agencys-cubesat-networked-communications-experiment/,,Missile Defense Agency,US,3U,The cubesats will mimic two suborbital missile interceptor vehicles and test communications between them.
CNCE3,cnce-block-1,https://www.nanosats.eu/sat/cnce-block-1.html,2021-06-30,,"Reentered, Retired, Operational",—,não,"Space Micro Inc., powered by Voyager Space, today announced the successful performance of its Software Defined Radios (SDRs) on Missile Defense Agency’s (MDA) CubeSat Networked Communications Experiment (CNCE) Block 1. Initially launched in June 2021 and completed in March 2022, CNCE Block 1, which is part of MDA’s Nanosat Testbed Initiative (NTI), used small, low-cost satellites to demonstrate networked radio communications between nanosatellites while in orbit
.
MDA retired the Block 1 satellites in March 2022 and they will de-orbit and burn up harmlessly in the atmosphere.",https://voyagerspace.com/2022/08/23/voyagers-space-micro-software-defined-radio-supports-success-of-missile-defense-agencys-cubesat-networked-communications-experiment/ | https://voyagerspace.com/2022/08/23/voyagers-space-micro-software-defined-radio-supports-success-of-missile-defense-agencys-cubesat-networked-communications-experiment/,,Missile Defense Agency,US,3U,The cubesats will mimic two suborbital missile interceptor vehicles and test communications between them.
LINCS1 A,lincs,https://www.nanosats.eu/sat/lincs.html,2021-06-30,,"Reentered, No signal, ?",—,não,SDA said in a statement Feb. 4 that there were “challenges communicating with the LINCS sats.,https://spacenews.com/space-development-agency-general-atomics-eye-options-after-setback-in-laser-comms-experiment/,,Space Development Agency,US,12U,Optical communications terminals that use lasers to beam data across space.
LINCS2 B,lincs,https://www.nanosats.eu/sat/lincs.html,2021-06-30,,"Reentered, No signal, ?",—,não,SDA said in a statement Feb. 4 that there were “challenges communicating with the LINCS sats.,https://spacenews.com/space-development-agency-general-atomics-eye-options-after-setback-in-laser-comms-experiment/,,Space Development Agency,US,12U,Optical communications terminals that use lasers to beam data across space.
PACE-1,pace-1,https://www.nanosats.eu/sat/pace-1.html,2021-06-30,"No signal? (No reports found and object not identified in Space-Track as of 2021-08-17, listed as Failure in NASA's CubeSat Fleet Missions Database as of 2022-01-01)","No signal, ?",—,não,Marked as Failure in the NASA SmallSat/CubeSat Fleet Missions Database.,https://s3vi.ndc.nasa.gov/cubesat/,,NASA Ames Research Center,,6U,Perform a set of experiments to demonstrate the Advanced Development Projects (ADP) technology.
